Service,DepartmentName,SubDepartmentName,Billing Date,Department of Ordering Doctor,Number,Item Name,Gross,discount,Net,ReferralDoctorName
Admission Medical Record Charges,Administration,Pulmonary Dept.,19/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,20/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,21/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,22/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,23/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,24/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,25/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,26/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,27/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,28/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,29/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,30/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,31/01/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,01/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,02/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,03/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,04/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,05/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,06/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,07/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,08/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,09/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,10/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,11/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,12/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,13/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,14/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,15/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,16/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,17/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,18/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,19/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
Admission Medical Record Charges,Administration,Pulmonary Dept.,20/02/2019 12:00:00,Cardiology,1,Admission charges,100,0,100,SUJAY
